{'loss': 0.6931, 'learning_rate': 6.6666666666666675e-06, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/rejected': -172.3125, 'logps/chosen': -104.98149108886719, 'logits/rejected': -111.53292083740234, 'logits/chosen': -110.38957977294922, 'epoch': 0.0}
{'loss': 0.6923, 'learning_rate': 6.666666666666667e-05, 'rewards/chosen': -0.0138451112434268, 'rewards/rejected': -0.02615942992269993, 'rewards/accuracies': 0.4722222089767456, 'rewards/margins': 0.01231431681662798, 'logps/rejected': -126.31825256347656, 'logps/chosen': -114.25247192382812, 'logits/rejected': -109.19169616699219, 'logits/chosen': -108.89260864257812, 'epoch': 0.04}
{'loss': 0.6622, 'learning_rate': 0.00013333333333333334, 'rewards/chosen': 0.005931527819484472, 'rewards/rejected': -0.06478294730186462, 'rewards/accuracies': 0.6000000238418579, 'rewards/margins': 0.07071447372436523, 'logps/rejected': -156.65036010742188, 'logps/chosen': -120.9219741821289, 'logits/rejected': -108.02777099609375, 'logits/chosen': -108.67799377441406, 'epoch': 0.08}
{'loss': 0.6874, 'learning_rate': 0.0002, 'rewards/chosen': 0.006274169776588678, 'rewards/rejected': -0.016356971114873886, 'rewards/accuracies': 0.6000000238418579, 'rewards/margins': 0.022631138563156128, 'logps/rejected': -139.86184692382812, 'logps/chosen': -149.54751586914062, 'logits/rejected': -108.5450439453125, 'logits/chosen': -109.74830627441406, 'epoch': 0.12}
{'loss': 0.7007, 'learning_rate': 0.0002666666666666667, 'rewards/chosen': -0.0020160232670605183, 'rewards/rejected': -0.00029595865635201335, 'rewards/accuracies': 0.5249999761581421, 'rewards/margins': -0.0017200708389282227, 'logps/rejected': -152.1009979248047, 'logps/chosen': -111.0652084350586, 'logits/rejected': -110.06367492675781, 'logits/chosen': -109.05940246582031, 'epoch': 0.16}
{'loss': 0.7124, 'learning_rate': 0.0003333333333333333, 'rewards/chosen': -0.14660562574863434, 'rewards/rejected': -0.14517304301261902, 'rewards/accuracies': 0.5249999761581421, 'rewards/margins': -0.0014325894881039858, 'logps/rejected': -117.26112365722656, 'logps/chosen': -96.92615509033203, 'logits/rejected': -108.87150573730469, 'logits/chosen': -108.88609313964844, 'epoch': 0.2}
{'loss': 0.6873, 'learning_rate': 0.0004, 'rewards/chosen': -0.18142899870872498, 'rewards/rejected': -0.26093044877052307, 'rewards/accuracies': 0.6499999761581421, 'rewards/margins': 0.0795014500617981, 'logps/rejected': -167.17098999023438, 'logps/chosen': -135.38485717773438, 'logits/rejected': -109.64094543457031, 'logits/chosen': -109.8450927734375, 'epoch': 0.24}
{'loss': 0.6599, 'learning_rate': 0.00046666666666666666, 'rewards/chosen': -0.19097785651683807, 'rewards/rejected': -0.34670037031173706, 'rewards/accuracies': 0.6000000238418579, 'rewards/margins': 0.15572257339954376, 'logps/rejected': -186.0618896484375, 'logps/chosen': -129.53927612304688, 'logits/rejected': -108.8268814086914, 'logits/chosen': -107.0586166381836, 'epoch': 0.28}
{'loss': 0.7493, 'learning_rate': 0.0005333333333333334, 'rewards/chosen': -0.4285214841365814, 'rewards/rejected': -0.44510358572006226, 'rewards/accuracies': 0.4749999940395355, 'rewards/margins': 0.01658209040760994, 'logps/rejected': -165.5027618408203, 'logps/chosen': -130.5972442626953, 'logits/rejected': -108.60943603515625, 'logits/chosen': -107.44853210449219, 'epoch': 0.32}
{'loss': 0.6358, 'learning_rate': 0.0006, 'rewards/chosen': -0.11518983542919159, 'rewards/rejected': -0.32094427943229675, 'rewards/accuracies': 0.6000000238418579, 'rewards/margins': 0.20575444400310516, 'logps/rejected': -135.1974639892578, 'logps/chosen': -101.48497009277344, 'logits/rejected': -112.17811584472656, 'logits/chosen': -110.630859375, 'epoch': 0.36}
{'loss': 0.7043, 'learning_rate': 0.0006666666666666666, 'rewards/chosen': -0.3470895290374756, 'rewards/rejected': -0.431804358959198, 'rewards/accuracies': 0.550000011920929, 'rewards/margins': 0.0847148522734642, 'logps/rejected': -141.26541137695312, 'logps/chosen': -128.98773193359375, 'logits/rejected': -110.24493408203125, 'logits/chosen': -109.04936218261719, 'epoch': 0.4}
